Deus Ex: The Fall,"Eidos Montreal
N-Fusion Interactive",Square Enix,0,Single-player
M.U.L.E.,Ozark Softscape,"Electronic Arts
Ariolasoft (Europe)
Bullet Proof Software[1] (Japan)",0,"Single player
Multiplayer"
Grand Theft Auto Online,Rockstar North,Rockstar Games,0,Online multiplayer
Broken Sword 5: The Serpent's Curse,Revolution Software,Revolution Software,0,Single-player
Rugby Challenge 2: The Lions Edition,Sidhe,Tru Blu Entertainment,0,"Single-player, Multiplayer"
Dead or Alive 5 Ultimate,"Team Ninja
(in partnership with Sega AM2)",Tecmo Koei,0,No data
Amnesia: A Machine for Pigs,The Chinese Room,Frictional Games,0,Single-player
Sonic the Hedgehog 4: Episode II,"Sonic Team
Dimps",Sega,0,"Single-player, Multiplayer"
Crysis 3,"Crytek UK
Crytek Frankfurt",Electronic Arts,0,"Single-player, multiplayer"
Aliens: Colonial Marines,Gearbox Software,Sega,0,"Single-player, multiplayer"
Slam Bolt Scrappers,Fire Hose Games,No data,0,No data
Plants vs. Zombies 2: It's About Time,PopCap Games,Electronic Arts,0,Single-player
We Sing UK Hits,Le Cortex,Nordic Games Publishing,0,"Single-player, Multi-player"
Ty the Tasmanian Tiger,Krome Studios,EA Games,0,Single-player
République,"Camouflaj LLC
Logan Games",No data,0,Single-player
Thomas Was Alone,"Mike Bithell (PC)
Bossa Studios (iOS, Android)
Curve Studios (PS3, PS4, Wii U, Xbox One, Vita)","Mike Bithell (PC)
Bossa Studios (iOS, Android)
Curve Studios (PS3, PS4, Wii U, Xbox One, Vita)",0,Single-player
Dyad,Right Square Bracket Left Square Bracket,Right Square Bracket Left Square Bracket,0,Single-player
Mad Dog McCree,"American Laser Games (Arcade, Sega CD, 3DO & DVD)
CapDisc (CD-i)
Digital Leisure (Windows, Wii & iOS)
Engine Software (3DS)","American Laser Games (Arcade, Sega CD & 3DO)
Philips Media (CD-i)
Digital Leisure (DVD, Windows, iOS & 3DS)
Majesco Games (Wii)",0,Single-player
Resident Evil: Revelations,"Capcom
Tose Co., Ltd.[1]","Capcom

EU Nintendo",0,"Single-player, multiplayer"
How to Survive,EKO Software,505 Games,0,Single-player
Mutant Mudds,Renegade Kid,Renegade Kid,0,Single-player
Project X Zone,"Banpresto
Monolith Soft",Namco Bandai Games,0,Single player
Soul Sacrifice,"Marvelous AQL
SCE Japan Studio
Comcept[1]",Sony Computer Entertainment,0,No data
Zeno Clash II,ACE Team,Atlus,0,"Single-player, multiplayer"
Final Fantasy V,"Square (SF)
Tose (PS & GBA)
Square Enix (iOS & Android)","Super Famicom

JP Square

PlayStation

JP Square
NA Square Electronic Arts
EU Sony Computer Entertainment

Game Boy Advance

JP Square Enix
NA Nintendo
EU Nintendo

iOS & Android
Square Enix",0,"Single-player, multiplayer"
Double Dragon II: The Revenge,Technōs Japan,Technōs Japan,0,"Single player, Cooperative"
Beyond: Two Souls,Quantic Dream,Sony Computer Entertainment,0,"Single-player, Two-player"
Race Driver: Grid,"Codemasters,[1]
Feral Interactive (Mac)","Codemasters,
Sega (Arcade),
Feral Interactive (Mac)[2]",0,"Single-player, multiplayer"
Sacred Citadel,Southend Interactive,Deep Silver,0,No data
PES 2014,PES Productions,No data,0,"Single-player, multiplayer"
Etrian Odyssey IV: Legends of the Titan,Atlus,"Atlus

EU NIS America",0,Single-player
Final Fantasy XIV: A Realm Reborn,Square Enix,"Square Enix
CN Shanda Games
KOR Actoz Soft",0,Multiplayer
Guilty Gear X2,Arc System Works,Sammy Studios,0,"Single-player, Multiplayer"
Gran Turismo 6,Polyphony Digital,Sony Computer Entertainment,0,No data
Marvel Heroes,"Gazillion Entertainment
Secret Identity Studios",No data,0,Multiplayer
Gunpoint,Suspicious Developments,No data,0,Single-player
Sound Shapes,"Queasy Games
SCE Santa Monica Studio",Sony Computer Entertainment,0,Single-player
Game & Wario,"Intelligent Systems
Nintendo SPD",Nintendo,0,"Single player, multiplayer"
Grand Theft Auto V,Rockstar North[a],Rockstar Games,0,"Single-player, multiplayer"
"Pokémon X
Pokémon Y",Game Freak,"Nintendo,
The Pokémon Company",0,"Single-player, multiplayer"
Deadpool,High Moon Studios,Activision,0,Single-player
Tropico 4,"Haemimont Games
Feral Interactive (Mac OS X)","Kalypso Media
FX Interactive (Italy and Spain)
Feral Interactive (Mac OS X)[1]",0,Single-player
Sega Superstars Tennis,"Sumo Digital
Feral Interactive (Mac OS X)[1]","Sega
Feral Interactive (Mac OS X)",0,No data
Shin Megami Tensei: Devil Summoner: Soul Hackers,Atlus,"Atlus

EU NIS America[1]",0,Single-player
Resident Evil 6,Capcom,Capcom,0,"Single-player, multiplayer"
Call of Juarez: Gunslinger,Techland,Ubisoft,0,Single-player
Doritos Crash Course 2,Behaviour Santiago,Microsoft Studios,0,"Single-player, multiplayer"
Wizardry Online,Gamepot,Sony Online Entertainment,0,No data
ShootMania Storm,Nadeo,Ubisoft,0,Multiplayer
SpongeBob SquarePants: Plankton's Robotic Revenge,Behaviour Interactive,Activision,0,"Single-player, multiplayer"
NCAA Football 14,EA Tiburon,EA Sports,0,"Single-player
Multiplayer or singleplayer on-line"
Shoot Many Robots,Demiurge Studios,Ubisoft,0,No data
Company of Heroes 2,Relic Entertainment,Sega,0,"Single-player, multiplayer"
Space Hulk,Full Control,No data,0,No data
Bit.Trip Presents Runner2: Future Legend of Rhythm Alien,Gaijin Games,"Aksys Games (XBLA/PSN)
Gaijin Games (Steam, Wii U, PS Vita, iOS)",0,Single-player
Dota 2,Valve Corporation,"USA Valve Corporation


PRC Perfect World


ROK Nexon Co. Ltd.


JPN Nexon Co. Ltd.",0,Multiplayer
The Wolf Among Us,Telltale Games,Telltale Games,0,Single-player
Toki Tori,Two Tribes B.V.,"Two Tribes B.V., Capcom, AIM Productions, Chillingo",0,Single-player
After Burner Climax,"Sega AM2
Fishing Cactus (iOS, Android)",Sega,0,Single player
Infinity Blade III,"Chair Entertainment
Epic Games",No data,0,"Single-player, multiplayer"
Brain Age: Concentration Training,Nintendo SPD,Nintendo,0,"Single player, multiplayer"
Tomb Raider,"Core Design

Additional work by:

Ideaworks Game Studio (N-Gage)
Realtech VR (iOS)","Eidos Interactive

JP Victor Interactive Software",0,Single-player
Football Manager 2014,Sports Interactive,Sega,0,No data
