Watch Dogs,Ubisoft Montreal[a],Ubisoft,No data,"Single-player, multiplayer"
South Park: The Stick of Truth,"Obsidian Entertainment
South Park Digital Studios",Ubisoft,No data,Single-player
Tales of Hearts,"Namco Tales Studio (DS)
Bandai Namco Studios, 7th Chord (PSV)","Namco Bandai
Bandai Namco Games (PSV)",No data,Single-player
Total War: Rome II,The Creative Assembly,Sega,No data,"Single-player, multiplayer"
F1 2013,"Codemasters Birmingham
Feral Interactive (Mac OS X)[1]","Codemasters
Feral Interactive (Mac OS X)
Namco Bandai (Console version, UK only)[2]",No data,"Single-player, multiplayer"
EverQuest Next,Sony Online Entertainment,Sony Online Entertainment,No data,No data
Yoshi's New Island,Arzest,Nintendo,No data,"Single-player, multiplayer"
Theatrhythm Final Fantasy: Curtain Call,Square Enix 1st Production Department,Square Enix,No data,"Single-player, multiplayer"
Inazuma Eleven,Level-5,"JP Level-5


NA Level-5


PAL Nintendo",No data,"Single-player, multiplayer"
Professor Layton vs. Phoenix Wright: Ace Attorney,"Level-5
Capcom","Level-5[1]
Nintendo (PAL/NA)",No data,Single-player
Might & Magic X: Legacy,Limbic Entertainment,Ubisoft,No data,Single-player
Bravely Default,"Silicon Studio
Square Enix","JP Square Enix


NA / PAL / KOR Nintendo",No data,Single-player
Class of Heroes,"Acquire, Zero Div","JP Acquire
NA Atlus",No data,Single-player
Pinball FX 2,Zen Studios,Microsoft Game Studios,No data,"Single-player, multiplayer"
Styx: Master of Shadows,Cyanide,Focus Home Interactive,No data,Single-player
Grand Theft Auto: San Andreas,Rockstar North,"WW Rockstar Games


JP Capcom",No data,"Single-player, multiplayer"
San Andreas,Rockstar North,"WW Rockstar Games


JP Capcom",No data,"Single-player, multiplayer"
Hyrule Warriors,"Omega Force, Team Ninja","JP Koei Tecmo
NA / PAL Nintendo",No data,"Single-player, multiplayer"
Luftrausers,Vlambeer,Devolver Digital,No data,Single-player
Driveclub,Evolution Studios,Sony Computer Entertainment,No data,"Single-player, online multiplayer"
PixelJunk Shooter,"Q-Games
Double Eleven","JP Q-Games
NA SCEA
PAL SCEE",No data,"Single-player, cooperative multiplayer"
