title,developer,publisher,release_date,mode,box_art_url
Theatrhythm Final Fantasy: Curtain Call,Square Enix 1st Production Department,Square Enix,No data,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Theatrhythm_Final_Fantasy_Curtain_Call_US_cover.jpg/250px-Theatrhythm_Final_Fantasy_Curtain_Call_US_cover.jpg
Inazuma Eleven,Level-5,"JP Level-5


NA Level-5


PAL Nintendo",08/22/08,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/b/b9/Inazuma_Eleven.jpg
Professor Layton vs. Phoenix Wright: Ace Attorney,"Level-5
Capcom","Level-5
Nintendo ",11/29/12,Single-player,https://upload.wikimedia.org/wikipedia/en/d/d0/Laytonvsaceattorneycover.jpg
Might & Magic X: Legacy,Limbic Entertainment,Ubisoft,01/23/14,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Might_%26_Magic_X_Legacy_cover.jpg/250px-Might_%26_Magic_X_Legacy_cover.jpg
Bravely Default,"Silicon Studio
Square Enix","JP Square Enix


NA / PAL / KOR Nintendo",10/11/12,Single-player,https://upload.wikimedia.org/wikipedia/en/b/be/BDFF_Logo.jpg
Class of Heroes,"Acquire, Zero Div","JP Acquire
NA Atlus",08/26/08,Single-player,https://upload.wikimedia.org/wikipedia/en/5/55/Classofheroes.jpg
Pinball FX 2,Zen Studios,Microsoft Game Studios,10/27/10,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/3/35/PinballFX2_cover.png
Styx: Master of Shadows,Cyanide,Focus Home Interactive,10/07/14,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Styx_Master_of_Shadows_cover_art.jpg/220px-Styx_Master_of_Shadows_cover_art.jpg
Grand Theft Auto: San Andreas,Rockstar North,"WW Rockstar Games


JP Capcom",10/26/04,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/GTASABOX.jpg/250px-GTASABOX.jpg
San Andreas,Rockstar North,"WW Rockstar Games


JP Capcom",10/26/04,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/GTASABOX.jpg/250px-GTASABOX.jpg
Hyrule Warriors,"Omega Force, Team Ninja","JP Koei Tecmo
NA / PAL Nintendo",08/14/14,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/c/c9/Hyrule_Warriors_NA_game_cover.png
